PERIOD;INDICATOR;DIMENSION;VALUE
2017-04-01/2017-10-01;30106_ind01;30106_dim02;98.2
2017-10-01/2018-04-01;30106_ind01;30106_dim02;99.2
2018-04-01/2018-10-01;30106_ind01;30106_dim02;98.5
2018-10-01/2019-04-01;30106_ind01;30106_dim02;99.6
2019-04-01/2019-10-01;30106_ind01;30106_dim02;99.8
2019-10-01/2020-04-01;30106_ind01;30106_dim02;99
1997-05-01/1997-11-01;30106_ind01;30106_dim03;10.021398
1997-11-01/1998-05-01;30106_ind01;30106_dim03;14.99797325
1998-05-01/1998-11-01;30106_ind01;30106_dim03;17.21854305
1998-11-01/1999-05-01;30106_ind01;30106_dim03;22.82294676
1999-03-01/1999-10-01;30106_ind01;30106_dim03;25.93159775
1999-10-01/2000-04-01;30106_ind01;30106_dim03;29.89597467
2000-04-01/2000-10-01;30106_ind01;30106_dim03;
2000-10-01/2001-04-01;30106_ind01;30106_dim03;43.64000891
2001-04-01/2001-10-01;30106_ind01;30106_dim03;
2001-10-01/2002-04-01;30106_ind01;30106_dim03;53.46067416
2002-04-01/2002-10-01;30106_ind01;30106_dim03;
2002-10-01/2003-04-01;30106_ind01;30106_dim03;58.53658537
2003-04-01/2003-10-01;30106_ind01;30106_dim03;
2003-10-01/2004-04-01;30106_ind01;30106_dim03;63.48670325
2004-04-01/2004-10-01;30106_ind01;30106_dim03;66.2
2004-10-01/2005-04-01;30106_ind01;30106_dim03;69.9
2005-04-01/2005-10-01;30106_ind01;30106_dim03;70.2
2005-10-01/2006-04-01;30106_ind01;30106_dim03;73.5
2006-04-01/2006-10-01;30106_ind01;30106_dim03;76.9
2006-10-01/2007-04-01;30106_ind01;30106_dim03;77.5
2007-04-01/2007-10-01;30106_ind01;30106_dim03;82
2007-10-01/2008-04-01;30106_ind01;30106_dim03;81.5
2008-04-01/2008-10-01;30106_ind01;30106_dim03;85
2008-10-01/2009-04-01;30106_ind01;30106_dim03;86.2
2009-04-01/2009-10-01;30106_ind01;30106_dim03;88.4
2009-10-01/2010-04-01;30106_ind01;30106_dim03;87.9
2010-04-01/2010-10-01;30106_ind01;30106_dim03;91.1
2010-10-01/2011-04-01;30106_ind01;30106_dim03;91
2011-04-01/2011-10-01;30106_ind01;30106_dim03;92.8
2011-10-01/2012-04-01;30106_ind01;30106_dim03;92.6
2012-04-01/2012-10-01;30106_ind01;30106_dim03;90.6
2012-10-01/2013-04-01;30106_ind01;30106_dim03;91.5
2013-04-01/2013-10-01;30106_ind01;30106_dim03;94
2013-10-01/2014-04-01;30106_ind01;30106_dim03;94.8
2014-04-01/2014-10-01;30106_ind01;30106_dim03;96.5
2014-10-01/2015-04-01;30106_ind01;30106_dim03;96
2015-04-01/2015-10-01;30106_ind01;30106_dim03;95.7
2015-10-01/2016-04-01;30106_ind01;30106_dim03;97.8
2016-04-01/2016-10-01;30106_ind01;30106_dim03;96.3
2016-10-01/2017-04-01;30106_ind01;30106_dim03;97.6
2017-04-01/2017-10-01;30106_ind01;30106_dim03;96.8
2017-10-01/2018-04-01;30106_ind01;30106_dim03;98.1
2018-04-01/2018-10-01;30106_ind01;30106_dim03;98.1
2018-10-01/2019-04-01;30106_ind01;30106_dim03;98.2
2019-04-01/2019-10-01;30106_ind01;30106_dim03;98.1
2019-10-01/2020-04-01;30106_ind01;30106_dim03;99.2
1997-05-01/1997-11-01;30106_ind01;30106_dim04;7.674526121
1997-11-01/1998-05-01;30106_ind01;30106_dim04;11.94736842
1998-05-01/1998-11-01;30106_ind01;30106_dim04;12.65361857
1998-11-01/1999-05-01;30106_ind01;30106_dim04;19.52755906
1999-03-01/1999-10-01;30106_ind01;30106_dim04;21.52245345
1999-10-01/2000-04-01;30106_ind01;30106_dim04;26.21241513
2000-04-01/2000-10-01;30106_ind01;30106_dim04;
2000-10-01/2001-04-01;30106_ind01;30106_dim04;37.35948338
2001-04-01/2001-10-01;30106_ind01;30106_dim04;
2001-10-01/2002-04-01;30106_ind01;30106_dim04;44.93975904
2002-04-01/2002-10-01;30106_ind01;30106_dim04;
2002-10-01/2003-04-01;30106_ind01;30106_dim04;52.75647172
2003-04-01/2003-10-01;30106_ind01;30106_dim04;
2003-10-01/2004-04-01;30106_ind01;30106_dim04;57.8846614
2004-04-01/2004-10-01;30106_ind01;30106_dim04;62
2004-10-01/2005-04-01;30106_ind01;30106_dim04;63.2
2005-04-01/2005-10-01;30106_ind01;30106_dim04;67.7
2005-10-01/2006-04-01;30106_ind01;30106_dim04;70.1
2006-04-01/2006-10-01;30106_ind01;30106_dim04;72.7
2006-10-01/2007-04-01;30106_ind01;30106_dim04;75.5
2007-04-01/2007-10-01;30106_ind01;30106_dim04;74.5
2007-10-01/2008-04-01;30106_ind01;30106_dim04;76.4
2008-04-01/2008-10-01;30106_ind01;30106_dim04;78.7
2008-10-01/2009-04-01;30106_ind01;30106_dim04;79.4
2009-04-01/2009-10-01;30106_ind01;30106_dim04;81.1
2009-10-01/2010-04-01;30106_ind01;30106_dim04;83.6
2010-04-01/2010-10-01;30106_ind01;30106_dim04;82.7
2010-10-01/2011-04-01;30106_ind01;30106_dim04;85.5
2011-04-01/2011-10-01;30106_ind01;30106_dim04;85.5
2011-10-01/2012-04-01;30106_ind01;30106_dim04;88.9
2012-04-01/2012-10-01;30106_ind01;30106_dim04;83.9
2012-10-01/2013-04-01;30106_ind01;30106_dim04;87.7
2013-04-01/2013-10-01;30106_ind01;30106_dim04;88.4
2013-10-01/2014-04-01;30106_ind01;30106_dim04;88.8
2014-04-01/2014-10-01;30106_ind01;30106_dim04;90.6
2014-10-01/2015-04-01;30106_ind01;30106_dim04;91.8
2015-04-01/2015-10-01;30106_ind01;30106_dim04;92
2015-10-01/2016-04-01;30106_ind01;30106_dim04;92.9
2016-04-01/2016-10-01;30106_ind01;30106_dim04;93.5
2016-10-01/2017-04-01;30106_ind01;30106_dim04;94.3
2017-04-01/2017-10-01;30106_ind01;30106_dim04;94
2017-10-01/2018-04-01;30106_ind01;30106_dim04;93.8
2018-04-01/2018-10-01;30106_ind01;30106_dim04;95.4
2018-10-01/2019-04-01;30106_ind01;30106_dim04;95
2019-04-01/2019-10-01;30106_ind01;30106_dim04;97.5
