PERIOD;INDICATOR;DIMENSION;VALUE
2008-10-01/2009-04-01;30106_ind01;30106_dim08;64.3
2009-04-01/2009-10-01;30106_ind01;30106_dim08;66.7
2009-10-01/2010-04-01;30106_ind01;30106_dim08;67.2
2010-04-01/2010-10-01;30106_ind01;30106_dim08;71
2010-10-01/2011-04-01;30106_ind01;30106_dim08;71.7
2011-04-01/2011-10-01;30106_ind01;30106_dim08;73.1
2011-10-01/2012-04-01;30106_ind01;30106_dim08;73.7
2012-04-01/2012-10-01;30106_ind01;30106_dim08;72.3
2012-10-01/2013-04-01;30106_ind01;30106_dim08;73.9
2013-04-01/2013-10-01;30106_ind01;30106_dim08;75.7
2013-10-01/2014-04-01;30106_ind01;30106_dim08;75.7
2014-04-01/2014-10-01;30106_ind01;30106_dim08;78
2014-10-01/2015-04-01;30106_ind01;30106_dim08;77.8
2015-04-01/2015-10-01;30106_ind01;30106_dim08;79.5
2015-10-01/2016-04-01;30106_ind01;30106_dim08;80.7
2016-04-01/2016-10-01;30106_ind01;30106_dim08;81.8
2016-10-01/2017-04-01;30106_ind01;30106_dim08;82.3
2017-04-01/2017-10-01;30106_ind01;30106_dim08;82.8
2017-10-01/2018-04-01;30106_ind01;30106_dim08;82
2018-04-01/2018-10-01;30106_ind01;30106_dim08;83.4
2018-10-01/2019-04-01;30106_ind01;30106_dim08;84.6
2019-04-01/2019-10-01;30106_ind01;30106_dim08;84.8
2019-10-01/2020-04-01;30106_ind01;30106_dim08;85.6
1997-05-01/1997-11-01;30106_ind01;30106_dim09;11.08989934
1997-11-01/1998-05-01;30106_ind01;30106_dim09;15.78287352
1998-05-01/1998-11-01;30106_ind01;30106_dim09;18.94511995
1998-11-01/1999-05-01;30106_ind01;30106_dim09;26.39940883
1999-03-01/1999-10-01;30106_ind01;30106_dim09;27.1566123
1999-10-01/2000-04-01;30106_ind01;30106_dim09;35.85490622
2000-04-01/2000-10-01;30106_ind01;30106_dim09;43.28112119
2000-10-01/2001-04-01;30106_ind01;30106_dim09;47.89111074
2001-04-01/2001-10-01;30106_ind01;30106_dim09;50.12879959
2001-10-01/2002-04-01;30106_ind01;30106_dim09;52.04932268
2002-04-01/2002-10-01;30106_ind01;30106_dim09;55.62724014
2002-10-01/2003-04-01;30106_ind01;30106_dim09;59.20104781
2003-04-01/2003-10-01;30106_ind01;30106_dim09;59.9
2003-10-01/2004-04-01;30106_ind01;30106_dim09;61.6
2004-04-01/2004-10-01;30106_ind01;30106_dim09;63.4
2004-10-01/2005-04-01;30106_ind01;30106_dim09;64.4
2005-04-01/2005-10-01;30106_ind01;30106_dim09;66.2
2005-10-01/2006-04-01;30106_ind01;30106_dim09;69.4
2006-04-01/2006-10-01;30106_ind01;30106_dim09;72.7
2006-10-01/2007-04-01;30106_ind01;30106_dim09;74.1
2007-04-01/2007-10-01;30106_ind01;30106_dim09;75.3
2007-10-01/2008-04-01;30106_ind01;30106_dim09;75.7
2008-04-01/2008-10-01;30106_ind01;30106_dim09;78.7
2008-10-01/2009-04-01;30106_ind01;30106_dim09;79.5
2009-04-01/2009-10-01;30106_ind01;30106_dim09;80
2009-10-01/2010-04-01;30106_ind01;30106_dim09;82
2010-04-01/2010-10-01;30106_ind01;30106_dim09;84
2010-10-01/2011-04-01;30106_ind01;30106_dim09;83.6
2011-04-01/2011-10-01;30106_ind01;30106_dim09;84.2
2011-10-01/2012-04-01;30106_ind01;30106_dim09;85.1
2012-04-01/2012-10-01;30106_ind01;30106_dim09;84.2
2012-10-01/2013-04-01;30106_ind01;30106_dim09;84.3
2013-04-01/2013-10-01;30106_ind01;30106_dim09;86.8
2013-10-01/2014-04-01;30106_ind01;30106_dim09;86.8
2014-04-01/2014-10-01;30106_ind01;30106_dim09;87.2
2014-10-01/2015-04-01;30106_ind01;30106_dim09;87.7
2015-04-01/2015-10-01;30106_ind01;30106_dim09;87.4
2015-10-01/2016-04-01;30106_ind01;30106_dim09;88.3
2016-04-01/2016-10-01;30106_ind01;30106_dim09;88.8
2016-10-01/2017-04-01;30106_ind01;30106_dim09;88.9
2017-04-01/2017-10-01;30106_ind01;30106_dim09;88.2
2017-10-01/2018-04-01;30106_ind01;30106_dim09;89.3
2018-04-01/2018-10-01;30106_ind01;30106_dim09;89.9
2018-10-01/2019-04-01;30106_ind01;30106_dim09;90.8
2019-04-01/2019-10-01;30106_ind01;30106_dim09;92.3
2019-10-01/2020-04-01;30106_ind01;30106_dim09;91.8
1997-05-01/1997-11-01;30106_ind01;30106_dim10;0.916546068
1997-11-01/1998-05-01;30106_ind01;30106_dim10;1.906519065
1998-05-01/1998-11-01;30106_ind01;30106_dim10;2.758274824
1998-11-01/1999-05-01;30106_ind01;30106_dim10;4.876681614
1999-03-01/1999-10-01;30106_ind01;30106_dim10;7.618651124
1999-10-01/2000-04-01;30106_ind01;30106_dim10;12.97259799
2000-04-01/2000-10-01;30106_ind01;30106_dim10;17.73906861
2000-10-01/2001-04-01;30106_ind01;30106_dim10;22.00587803
2001-04-01/2001-10-01;30106_ind01;30106_dim10;19.39962477
2001-10-01/2002-04-01;30106_ind01;30106_dim10;25.13409962
2002-04-01/2002-10-01;30106_ind01;30106_dim10;25.36955653
2002-10-01/2003-04-01;30106_ind01;30106_dim10;28.01000357
2003-04-01/2003-10-01;30106_ind01;30106_dim10;28.2
2003-10-01/2004-04-01;30106_ind01;30106_dim10;28.9
2004-04-01/2004-10-01;30106_ind01;30106_dim10;31.1
2004-10-01/2005-04-01;30106_ind01;30106_dim10;32.3
2005-04-01/2005-10-01;30106_ind01;30106_dim10;32.4
2005-10-01/2006-04-01;30106_ind01;30106_dim10;38.9
2006-04-01/2006-10-01;30106_ind01;30106_dim10;41.7
2006-10-01/2007-04-01;30106_ind01;30106_dim10;43.6
2007-04-01/2007-10-01;30106_ind01;30106_dim10;45
2007-10-01/2008-04-01;30106_ind01;30106_dim10;46.6
2008-04-01/2008-10-01;30106_ind01;30106_dim10;50.3
2008-10-01/2009-04-01;30106_ind01;30106_dim10;47.9
2009-04-01/2009-10-01;30106_ind01;30106_dim10;50.9
2009-10-01/2010-04-01;30106_ind01;30106_dim10;53.1
2010-04-01/2010-10-01;30106_ind01;30106_dim10;57.4
2010-10-01/2011-04-01;30106_ind01;30106_dim10;57.5
2011-04-01/2011-10-01;30106_ind01;30106_dim10;58.6
2011-10-01/2012-04-01;30106_ind01;30106_dim10;58.3
2012-04-01/2012-10-01;30106_ind01;30106_dim10;62.1
2012-10-01/2013-04-01;30106_ind01;30106_dim10;60.4
2013-04-01/2013-10-01;30106_ind01;30106_dim10;64.2
2013-10-01/2014-04-01;30106_ind01;30106_dim10;61.5
2014-04-01/2014-10-01;30106_ind01;30106_dim10;64.2
2014-10-01/2015-04-01;30106_ind01;30106_dim10;65.2
2015-04-01/2015-10-01;30106_ind01;30106_dim10;66
2015-10-01/2016-04-01;30106_ind01;30106_dim10;66.2
2016-04-01/2016-10-01;30106_ind01;30106_dim10;68.7
2016-10-01/2017-04-01;30106_ind01;30106_dim10;68.2
2017-04-01/2017-10-01;30106_ind01;30106_dim10;67.2
2017-10-01/2018-04-01;30106_ind01;30106_dim10;69.9
2018-04-01/2018-10-01;30106_ind01;30106_dim10;68.6
2018-10-01/2019-04-01;30106_ind01;30106_dim10;74
2019-04-01/2019-10-01;30106_ind01;30106_dim10;73.9
2019-10-01/2020-04-01;30106_ind01;30106_dim10;73.7
1997-05-01/1997-11-01;30106_ind01;30106_dim11;4.191224623
1997-11-01/1998-05-01;30106_ind01;30106_dim11;7.152941176
1998-05-01/1998-11-01;30106_ind01;30106_dim11;9.647961885
1998-11-01/1999-05-01;30106_ind01;30106_dim11;14.07297096
1999-03-01/1999-10-01;30106_ind01;30106_dim11;17.67262999
1999-10-01/2000-04-01;30106_ind01;30106_dim11;24.03394256
2000-04-01/2000-10-01;30106_ind01;30106_dim11;30.19724706
2000-10-01/2001-04-01;30106_ind01;30106_dim11;35.03072871
2001-04-01/2001-10-01;30106_ind01;30106_dim11;38.73303167
2001-10-01/2002-04-01;30106_ind01;30106_dim11;40.4337127
2002-04-01/2002-10-01;30106_ind01;30106_dim11;43.98859496
2002-10-01/2003-04-01;30106_ind01;30106_dim11;46.34040081
2003-04-01/2003-10-01;30106_ind01;30106_dim11;48.6
2003-10-01/2004-04-01;30106_ind01;30106_dim11;49.9
2004-04-01/2004-10-01;30106_ind01;30106_dim11;52.5
2004-10-01/2005-04-01;30106_ind01;30106_dim11;53.7
2005-04-01/2005-10-01;30106_ind01;30106_dim11;55.6
2005-10-01/2006-04-01;30106_ind01;30106_dim11;58.57319715
2006-04-01/2006-10-01;30106_ind01;30106_dim11;62.4
2006-10-01/2007-04-01;30106_ind01;30106_dim11;63.6
2007-04-01/2007-10-01;30106_ind01;30106_dim11;65.6
2007-10-01/2008-04-01;30106_ind01;30106_dim11;66.1
2008-04-01/2008-10-01;30106_ind01;30106_dim11;69.4
2008-10-01/2009-04-01;30106_ind01;30106_dim11;71.1
2009-04-01/2009-10-01;30106_ind01;30106_dim11;72.3
2009-10-01/2010-04-01;30106_ind01;30106_dim11;73.4
2010-04-01/2010-10-01;30106_ind01;30106_dim11;76.4
2010-10-01/2011-04-01;30106_ind01;30106_dim11;76.3
2011-04-01/2011-10-01;30106_ind01;30106_dim11;77
2011-10-01/2012-04-01;30106_ind01;30106_dim11;78.6
2012-04-01/2012-10-01;30106_ind01;30106_dim11;75.2
2012-10-01/2013-04-01;30106_ind01;30106_dim11;78
2013-04-01/2013-10-01;30106_ind01;30106_dim11;80.1
2013-10-01/2014-04-01;30106_ind01;30106_dim11;81
2014-04-01/2014-10-01;30106_ind01;30106_dim11;81.8
2014-10-01/2015-04-01;30106_ind01;30106_dim11;82
2015-04-01/2015-10-01;30106_ind01;30106_dim11;82.4
2015-10-01/2016-04-01;30106_ind01;30106_dim11;83.9
2016-04-01/2016-10-01;30106_ind01;30106_dim11;84.3
2016-10-01/2017-04-01;30106_ind01;30106_dim11;85.1
2017-04-01/2017-10-01;30106_ind01;30106_dim11;84.9
2017-10-01/2018-04-01;30106_ind01;30106_dim11;84.5
2018-04-01/2018-10-01;30106_ind01;30106_dim11;86.2
2018-10-01/2019-04-01;30106_ind01;30106_dim11;86.3
2019-04-01/2019-10-01;30106_ind01;30106_dim11;87.8
2019-10-01/2020-04-01;30106_ind01;30106_dim11;87.7
1997-05-01/1997-11-01;30106_ind01;30106_dim12;16.78146525
1997-11-01/1998-05-01;30106_ind01;30106_dim12;20.37786775
1998-05-01/1998-11-01;30106_ind01;30106_dim12;25.86618877
1998-11-01/1999-05-01;30106_ind01;30106_dim12;34.31635389
1999-03-01/1999-10-01;30106_ind01;30106_dim12;37.01002735
1999-10-01/2000-04-01;30106_ind01;30106_dim12;46.63428175
2000-04-01/2000-10-01;30106_ind01;30106_dim12;56.8671121
2000-10-01/2001-04-01;30106_ind01;30106_dim12;58.36940837
2001-04-01/2001-10-01;30106_ind01;30106_dim12;62.1641791
2001-10-01/2002-04-01;30106_ind01;30106_dim12;62.78555637
2002-04-01/2002-10-01;30106_ind01;30106_dim12;67.54966887
2002-10-01/2003-04-01;30106_ind01;30106_dim12;68.84798909
2003-04-01/2003-10-01;30106_ind01;30106_dim12;64.4
2003-10-01/2004-04-01;30106_ind01;30106_dim12;66.5
2004-04-01/2004-10-01;30106_ind01;30106_dim12;68.6
2004-10-01/2005-04-01;30106_ind01;30106_dim12;68
2005-04-01/2005-10-01;30106_ind01;30106_dim12;72.8
2005-10-01/2006-04-01;30106_ind01;30106_dim12;74.35897436
2006-04-01/2006-10-01;30106_ind01;30106_dim12;75.8
2006-10-01/2007-04-01;30106_ind01;30106_dim12;78.1
2007-04-01/2007-10-01;30106_ind01;30106_dim12;79.1
2007-10-01/2008-04-01;30106_ind01;30106_dim12;78.8
2008-04-01/2008-10-01;30106_ind01;30106_dim12;80.5
2008-10-01/2009-04-01;30106_ind01;30106_dim12;81.3
2009-04-01/2009-10-01;30106_ind01;30106_dim12;82.5
2009-10-01/2010-04-01;30106_ind01;30106_dim12;82.4
2010-04-01/2010-10-01;30106_ind01;30106_dim12;84.7
2010-10-01/2011-04-01;30106_ind01;30106_dim12;85.7
2011-04-01/2011-10-01;30106_ind01;30106_dim12;85.5
2011-10-01/2012-04-01;30106_ind01;30106_dim12;87
2012-04-01/2012-10-01;30106_ind01;30106_dim12;87.6
2012-10-01/2013-04-01;30106_ind01;30106_dim12;91.3
2013-04-01/2013-10-01;30106_ind01;30106_dim12;92.3
2013-10-01/2014-04-01;30106_ind01;30106_dim12;92.9
2014-04-01/2014-10-01;30106_ind01;30106_dim12;92.6
2014-10-01/2015-04-01;30106_ind01;30106_dim12;93
2015-04-01/2015-10-01;30106_ind01;30106_dim12;94.1
2015-10-01/2016-04-01;30106_ind01;30106_dim12;94.2
2016-04-01/2016-10-01;30106_ind01;30106_dim12;94.2
2016-10-01/2017-04-01;30106_ind01;30106_dim12;93.6
2017-04-01/2017-10-01;30106_ind01;30106_dim12;93.9
2017-10-01/2018-04-01;30106_ind01;30106_dim12;93.7
2018-04-01/2018-10-01;30106_ind01;30106_dim12;93.7
2018-10-01/2019-04-01;30106_ind01;30106_dim12;94.4
2019-04-01/2019-10-01;30106_ind01;30106_dim12;95.8
2019-10-01/2020-04-01;30106_ind01;30106_dim12;95.2
1997-05-01/1997-11-01;30106_ind01;30106_dim13;23.17429406
1997-11-01/1998-05-01;30106_ind01;30106_dim13;32.23938224
1998-05-01/1998-11-01;30106_ind01;30106_dim13;35.50239234
1998-11-01/1999-05-01;30106_ind01;30106_dim13;43.94426581
1999-03-01/1999-10-01;30106_ind01;30106_dim13;48.35820896
1999-10-01/2000-04-01;30106_ind01;30106_dim13;59.2469546
2000-04-01/2000-10-01;30106_ind01;30106_dim13;63.52549889
2000-10-01/2001-04-01;30106_ind01;30106_dim13;70.82860386
2001-04-01/2001-10-01;30106_ind01;30106_dim13;71.67567568
2001-10-01/2002-04-01;30106_ind01;30106_dim13;76.58371041
2002-04-01/2002-10-01;30106_ind01;30106_dim13;77.37397421
2002-10-01/2003-04-01;30106_ind01;30106_dim13;79.98065764
2003-04-01/2003-10-01;30106_ind01;30106_dim13;78.2
2003-10-01/2004-04-01;30106_ind01;30106_dim13;80.4
2004-04-01/2004-10-01;30106_ind01;30106_dim13;81.2
2004-10-01/2005-04-01;30106_ind01;30106_dim13;82.3
2005-04-01/2005-10-01;30106_ind01;30106_dim13;83.5
2005-10-01/2006-04-01;30106_ind01;30106_dim13;84.93621197
2006-04-01/2006-10-01;30106_ind01;30106_dim13;88.9
2006-10-01/2007-04-01;30106_ind01;30106_dim13;90.7
2007-04-01/2007-10-01;30106_ind01;30106_dim13;90.2
2007-10-01/2008-04-01;30106_ind01;30106_dim13;90.3
2008-04-01/2008-10-01;30106_ind01;30106_dim13;90.8
2008-10-01/2009-04-01;30106_ind01;30106_dim13;92.4
2009-04-01/2009-10-01;30106_ind01;30106_dim13;92.3
2009-10-01/2010-04-01;30106_ind01;30106_dim13;92.9
2010-04-01/2010-10-01;30106_ind01;30106_dim13;93.9
2010-10-01/2011-04-01;30106_ind01;30106_dim13;94.3
2011-04-01/2011-10-01;30106_ind01;30106_dim13;95.3
2011-10-01/2012-04-01;30106_ind01;30106_dim13;94.8
2012-04-01/2012-10-01;30106_ind01;30106_dim13;95.7
2012-10-01/2013-04-01;30106_ind01;30106_dim13;95.3
2013-04-01/2013-10-01;30106_ind01;30106_dim13;96
2013-10-01/2014-04-01;30106_ind01;30106_dim13;96
2014-04-01/2014-10-01;30106_ind01;30106_dim13;97.1
2014-10-01/2015-04-01;30106_ind01;30106_dim13;96.6
2015-04-01/2015-10-01;30106_ind01;30106_dim13;96.7
2015-10-01/2016-04-01;30106_ind01;30106_dim13;97.4
2016-04-01/2016-10-01;30106_ind01;30106_dim13;97.3
2016-10-01/2017-04-01;30106_ind01;30106_dim13;97.2
2017-04-01/2017-10-01;30106_ind01;30106_dim13;97.4
2017-10-01/2018-04-01;30106_ind01;30106_dim13;97.1
2018-04-01/2018-10-01;30106_ind01;30106_dim13;97.9
2018-10-01/2019-04-01;30106_ind01;30106_dim13;98.1
2019-04-01/2019-10-01;30106_ind01;30106_dim13;97.8
2019-10-01/2020-04-01;30106_ind01;30106_dim13;98.4
1997-05-01/1997-11-01;30106_ind01;30106_dim14;2.294630564
1997-11-01/1998-05-01;30106_ind01;30106_dim14;5.002718869
1998-05-01/1998-11-01;30106_ind01;30106_dim14;4.164672092
1998-11-01/1999-05-01;30106_ind01;30106_dim14;6.408185245
1999-03-01/1999-10-01;30106_ind01;30106_dim14;7.298881193
1999-10-01/2000-04-01;30106_ind01;30106_dim14;9.741176471
2000-04-01/2000-10-01;30106_ind01;30106_dim14;11.12305212
2000-10-01/2001-04-01;30106_ind01;30106_dim14;13.90433815
2001-04-01/2001-10-01;30106_ind01;30106_dim14;13.79107981
2001-10-01/2002-04-01;30106_ind01;30106_dim14;14.98525074
2002-04-01/2002-10-01;30106_ind01;30106_dim14;15.20100503
2002-10-01/2003-04-01;30106_ind01;30106_dim14;16.36568849
2003-04-01/2003-10-01;30106_ind01;30106_dim14;16.8
2003-10-01/2004-04-01;30106_ind01;30106_dim14;20
2004-04-01/2004-10-01;30106_ind01;30106_dim14;25.3
2004-10-01/2005-04-01;30106_ind01;30106_dim14;25.3
2005-04-01/2005-10-01;30106_ind01;30106_dim14;24.2
2005-10-01/2006-04-01;30106_ind01;30106_dim14;28.40444185
2006-04-01/2006-10-01;30106_ind01;30106_dim14;33.2
2006-10-01/2007-04-01;30106_ind01;30106_dim14;30.64133017
2007-04-01/2007-10-01;30106_ind01;30106_dim14;33.14429742
2007-10-01/2008-04-01;30106_ind01;30106_dim14;34.63177115
2008-04-01/2008-10-01;30106_ind01;30106_dim14;36.3
2008-10-01/2009-04-01;30106_ind01;30106_dim14;36
2009-04-01/2009-10-01;30106_ind01;30106_dim14;40.8
2009-10-01/2010-04-01;30106_ind01;30106_dim14;40.5
2010-04-01/2010-10-01;30106_ind01;30106_dim14;42
2010-10-01/2011-04-01;30106_ind01;30106_dim14;44.7
2011-04-01/2011-10-01;30106_ind01;30106_dim14;46.2
2011-10-01/2012-04-01;30106_ind01;30106_dim14;45
2012-04-01/2012-10-01;30106_ind01;30106_dim14;50.4
2012-10-01/2013-04-01;30106_ind01;30106_dim14;50.6
2013-04-01/2013-10-01;30106_ind01;30106_dim14;53.7
2013-10-01/2014-04-01;30106_ind01;30106_dim14;51.5
2014-04-01/2014-10-01;30106_ind01;30106_dim14;53.9
2014-10-01/2015-04-01;30106_ind01;30106_dim14;50.7
2015-04-01/2015-10-01;30106_ind01;30106_dim14;53.7
2015-10-01/2016-04-01;30106_ind01;30106_dim14;54.8
2016-04-01/2016-10-01;30106_ind01;30106_dim14;56.4
2016-10-01/2017-04-01;30106_ind01;30106_dim14;56.6
2017-04-01/2017-10-01;30106_ind01;30106_dim14;58.1
2017-10-01/2018-04-01;30106_ind01;30106_dim14;60.7
2018-04-01/2018-10-01;30106_ind01;30106_dim14;62
2018-10-01/2019-04-01;30106_ind01;30106_dim14;62.1
2019-04-01/2019-10-01;30106_ind01;30106_dim14;64.7
2019-10-01/2020-04-01;30106_ind01;30106_dim14;62.6
1997-05-01/1997-11-01;30106_ind01;30106_dim15;5.255985984
1997-11-01/1998-05-01;30106_ind01;30106_dim15;8.676207513
1998-05-01/1998-11-01;30106_ind01;30106_dim15;10.82075106
1998-11-01/1999-05-01;30106_ind01;30106_dim15;15.73480663
1999-03-01/1999-10-01;30106_ind01;30106_dim15;16.32754342
1999-10-01/2000-04-01;30106_ind01;30106_dim15;23.24207209
2000-04-01/2000-10-01;30106_ind01;30106_dim15;27.9646762
2000-10-01/2001-04-01;30106_ind01;30106_dim15;34.1421516
2001-04-01/2001-10-01;30106_ind01;30106_dim15;36.18157543
2001-10-01/2002-04-01;30106_ind01;30106_dim15;38.5992392
2002-04-01/2002-10-01;30106_ind01;30106_dim15;41.12604263
2002-10-01/2003-04-01;30106_ind01;30106_dim15;43.03183639
2003-04-01/2003-10-01;30106_ind01;30106_dim15;45.5
2003-10-01/2004-04-01;30106_ind01;30106_dim15;48.8
2004-04-01/2004-10-01;30106_ind01;30106_dim15;51.8
2004-10-01/2005-04-01;30106_ind01;30106_dim15;52.7
2005-04-01/2005-10-01;30106_ind01;30106_dim15;54.9
2005-10-01/2006-04-01;30106_ind01;30106_dim15;58.67579909
2006-04-01/2006-10-01;30106_ind01;30106_dim15;61.5
2006-10-01/2007-04-01;30106_ind01;30106_dim15;63.80275624
2007-04-01/2007-10-01;30106_ind01;30106_dim15;65.44974709
2007-10-01/2008-04-01;30106_ind01;30106_dim15;66.59649123
2008-04-01/2008-10-01;30106_ind01;30106_dim15;69
2008-10-01/2009-04-01;30106_ind01;30106_dim15;70.8
2009-04-01/2009-10-01;30106_ind01;30106_dim15;70.8
2009-10-01/2010-04-01;30106_ind01;30106_dim15;72.5
2010-04-01/2010-10-01;30106_ind01;30106_dim15;76.2
2010-10-01/2011-04-01;30106_ind01;30106_dim15;75.2
2011-04-01/2011-10-01;30106_ind01;30106_dim15;75.2
2011-10-01/2012-04-01;30106_ind01;30106_dim15;77.2
2012-04-01/2012-10-01;30106_ind01;30106_dim15;72.3
2012-10-01/2013-04-01;30106_ind01;30106_dim15;74.6
2013-04-01/2013-10-01;30106_ind01;30106_dim15;77.9
2013-10-01/2014-04-01;30106_ind01;30106_dim15;76.6
2014-04-01/2014-10-01;30106_ind01;30106_dim15;79
2014-10-01/2015-04-01;30106_ind01;30106_dim15;79.6
2015-04-01/2015-10-01;30106_ind01;30106_dim15;80
2015-10-01/2016-04-01;30106_ind01;30106_dim15;81.7
2016-04-01/2016-10-01;30106_ind01;30106_dim15;82.5
2016-10-01/2017-04-01;30106_ind01;30106_dim15;82.5
2017-04-01/2017-10-01;30106_ind01;30106_dim15;82.7
2017-10-01/2018-04-01;30106_ind01;30106_dim15;83
2018-04-01/2018-10-01;30106_ind01;30106_dim15;84.1
2018-10-01/2019-04-01;30106_ind01;30106_dim15;86.6
2019-04-01/2019-10-01;30106_ind01;30106_dim15;87
2019-10-01/2020-04-01;30106_ind01;30106_dim15;87.2
1997-05-01/1997-11-01;30106_ind01;30106_dim16;16.2745098
1997-11-01/1998-05-01;30106_ind01;30106_dim16;21.31438721
1998-05-01/1998-11-01;30106_ind01;30106_dim16;26.58181818
1998-11-01/1999-05-01;30106_ind01;30106_dim16;34.29394813
1999-03-01/1999-10-01;30106_ind01;30106_dim16;31.38211382
1999-10-01/2000-04-01;30106_ind01;30106_dim16;37.19211823
2000-04-01/2000-10-01;30106_ind01;30106_dim16;49.37458855
2000-10-01/2001-04-01;30106_ind01;30106_dim16;52.28931652
2001-04-01/2001-10-01;30106_ind01;30106_dim16;54.13105413
2001-10-01/2002-04-01;30106_ind01;30106_dim16;60.26443981
2002-04-01/2002-10-01;30106_ind01;30106_dim16;60.64844247
2002-10-01/2003-04-01;30106_ind01;30106_dim16;66.12709832
2003-04-01/2003-10-01;30106_ind01;30106_dim16;69.7
2003-10-01/2004-04-01;30106_ind01;30106_dim16;73.9
2004-04-01/2004-10-01;30106_ind01;30106_dim16;70.7
2004-10-01/2005-04-01;30106_ind01;30106_dim16;72.2
2005-04-01/2005-10-01;30106_ind01;30106_dim16;75.4
2005-10-01/2006-04-01;30106_ind01;30106_dim16;77.8
2006-04-01/2006-10-01;30106_ind01;30106_dim16;80.7
2006-10-01/2007-04-01;30106_ind01;30106_dim16;84.1
2007-04-01/2007-10-01;30106_ind01;30106_dim16;82.9
2007-10-01/2008-04-01;30106_ind01;30106_dim16;83.7
2008-04-01/2008-10-01;30106_ind01;30106_dim16;86.5
2008-10-01/2009-04-01;30106_ind01;30106_dim16;84.7
2009-04-01/2009-10-01;30106_ind01;30106_dim16;87.7
2009-10-01/2010-04-01;30106_ind01;30106_dim16;87.1
2010-04-01/2010-10-01;30106_ind01;30106_dim16;89.8
2010-10-01/2011-04-01;30106_ind01;30106_dim16;91.4
2011-04-01/2011-10-01;30106_ind01;30106_dim16;92
2011-10-01/2012-04-01;30106_ind01;30106_dim16;91.5
2012-04-01/2012-10-01;30106_ind01;30106_dim16;87.6
2012-10-01/2013-04-01;30106_ind01;30106_dim16;90
2013-04-01/2013-10-01;30106_ind01;30106_dim16;91.6
2013-10-01/2014-04-01;30106_ind01;30106_dim16;92.6
2014-04-01/2014-10-01;30106_ind01;30106_dim16;94.2
2014-10-01/2015-04-01;30106_ind01;30106_dim16;93.1
2015-04-01/2015-10-01;30106_ind01;30106_dim16;93.3
2015-10-01/2016-04-01;30106_ind01;30106_dim16;93.2
2016-04-01/2016-10-01;30106_ind01;30106_dim16;94
2016-10-01/2017-04-01;30106_ind01;30106_dim16;95.3
2017-04-01/2017-10-01;30106_ind01;30106_dim16;93.9
2017-10-01/2018-04-01;30106_ind01;30106_dim16;95.1
2018-04-01/2018-10-01;30106_ind01;30106_dim16;95.8
2018-10-01/2019-04-01;30106_ind01;30106_dim16;95.8
2019-04-01/2019-10-01;30106_ind01;30106_dim16;96.3
2019-10-01/2020-04-01;30106_ind01;30106_dim16;96.9
1997-05-01/1997-11-01;30106_ind01;30106_dim17;19.84313725
1997-11-01/1998-05-01;30106_ind01;30106_dim17;24.3567753
1998-05-01/1998-11-01;30106_ind01;30106_dim17;30.65843621
1998-11-01/1999-05-01;30106_ind01;30106_dim17;40.04739336
1999-03-01/1999-10-01;30106_ind01;30106_dim17;41.43245694
1999-10-01/2000-04-01;30106_ind01;30106_dim17;55.5
2000-04-01/2000-10-01;30106_ind01;30106_dim17;59.3728223
2000-10-01/2001-04-01;30106_ind01;30106_dim17;66.88785667
2001-04-01/2001-10-01;30106_ind01;30106_dim17;69.75269499
2001-10-01/2002-04-01;30106_ind01;30106_dim17;68.34047765
2002-04-01/2002-10-01;30106_ind01;30106_dim17;74.98424701
2002-10-01/2003-04-01;30106_ind01;30106_dim17;77.24750277
2003-04-01/2003-10-01;30106_ind01;30106_dim17;76.8
2003-10-01/2004-04-01;30106_ind01;30106_dim17;79.1
2004-04-01/2004-10-01;30106_ind01;30106_dim17;81.5
2004-10-01/2005-04-01;30106_ind01;30106_dim17;83.8
2005-04-01/2005-10-01;30106_ind01;30106_dim17;84.4
2005-10-01/2006-04-01;30106_ind01;30106_dim17;86.09501738
2006-04-01/2006-10-01;30106_ind01;30106_dim17;88.4
2006-10-01/2007-04-01;30106_ind01;30106_dim17;89.92332968
2007-04-01/2007-10-01;30106_ind01;30106_dim17;90.02181025
2007-10-01/2008-04-01;30106_ind01;30106_dim17;91.41304348
2008-04-01/2008-10-01;30106_ind01;30106_dim17;92.1
2008-10-01/2009-04-01;30106_ind01;30106_dim17;91.9
2009-04-01/2009-10-01;30106_ind01;30106_dim17;92.7
2009-10-01/2010-04-01;30106_ind01;30106_dim17;94.3
2010-04-01/2010-10-01;30106_ind01;30106_dim17;94.7
2010-10-01/2011-04-01;30106_ind01;30106_dim17;93.7
2011-04-01/2011-10-01;30106_ind01;30106_dim17;95.8
2011-10-01/2012-04-01;30106_ind01;30106_dim17;97.2
2012-04-01/2012-10-01;30106_ind01;30106_dim17;94
2012-10-01/2013-04-01;30106_ind01;30106_dim17;94.3
2013-04-01/2013-10-01;30106_ind01;30106_dim17;95.8
2013-10-01/2014-04-01;30106_ind01;30106_dim17;96.5
2014-04-01/2014-10-01;30106_ind01;30106_dim17;95.2
2014-10-01/2015-04-01;30106_ind01;30106_dim17;96.4
2015-04-01/2015-10-01;30106_ind01;30106_dim17;96.8
2015-10-01/2016-04-01;30106_ind01;30106_dim17;97.1
2016-04-01/2016-10-01;30106_ind01;30106_dim17;97.3
2016-10-01/2017-04-01;30106_ind01;30106_dim17;98.2
